,sentiment,content
339,0,watching killer jr awesome late though cut programme mid song twas favourite too
340,1,phoebealice x brother moved
341,0,sassisam agh mine left new york last month
342,1,great talk tony afternoon going give another go
343,0,pretty good day let s see night go oh work day tomorrow picnic
344,1,dotmanish dude pestered army personnel mumbai airport let hold much request leave
345,0,jamie oliver whats breaky then russtle something hangover please jamie lmao
346,0,tommcfly hate feeling like
347,0,view flickr account maybe much you happy yay http www flickr com photo bonassin
348,0,sitting wondering amp wishing bunch stuff never
349,1,vansunder making hot chocolate almond milk mother day festivity starting early
350,1,socallove yeah get better though know it
351,0,grandparent cat may die love cat swear go
352,0,got home downtown dead plus im kinda weather gotta get work tomorrow
353,1,exhausted tee knocking out nighty night tweety bird
354,0,shotdown haha stay nearly hour coach get here may convenient hour tv
355,1,emalyse david aaronovitch always worth making exception good morning way
356,1,firework kboom concert second best ever seen preceded last year s show lt sigh gt
357,0,larrybenet per taylor dayne conversation official jealous you
358,0,disturbed sold baby tiger met thailand exotic pet greedy bastard
359,0,oh really tired migraine endometriosis amp fibromyalgia amp migraine amp sleep probs compoundin ea since surgery
360,0,eat sandwhich since guy meeting sushi brag about
361,0,im watching tv home wishing could get chicken shish delivered go enough penny
362,0,allergy suck duck nut lt gt
363,0,dont wanna work tomorrow get paid
364,1,watching merlin omg cute
365,1,anyone need help image let know convo forum s link
366,0,berumen no sitting around sculpting tiny koi
367,1,anncurry photo lovely knew talented photographer journalist
368,1,brazilianlinda whoop totally read wrong ahem yes participating day may madness ebook there
369,0,elena left morning nine month spent living probably year till see again hmph
370,1,yay last class semester
371,1,orchidflower yes all oh gone bed minor soap marathon photo editing night me ohhh inn lake nice food
372,0,princsskrys lmao never met anyone liked caramel much
373,0,head hurting
374,1,retrorewind working station cool love yer music kk back sweating part lol la xxx
375,1,watching quot it take two quot classic lol
376,1,susieblackmon know appeal knitting believe know
377,0,watching qi dave still quite bored even adam davis cheer up quite funny
378,0,go school reviens ï¿½ h
379,1,brianmcnugget rofl that s like hear
380,1,watching miley cyrus youtube
381,0,billohbill s amp r devon horse show gettin mostly rained out lot event ben cancelled incl coach
382,0,tysondueck bad
383,1,souravghosh dream give rise reality said walk dream fly dream believe achieve
384,1,mandarific well day owe sleep late
385,0,downloadfestival s lineup good thought wa awesome band festival missing dl
386,1,kidthings yeah doe i fun today i regret taking cup now it awesome i must find one like
387,1,big shout home girl know
388,1,pettles know can t believe say bleedin song donnie rap it tut
389,0,godiegogo well atm anyway managing co musical talent p horrible thing say bout rove
390,0,trying figure whole quot twitter quot thing thanks scott amp allison now can t concentrate work
391,0,soo sick hate life
392,1,sydeni f babei best two second movie
393,0,go big plan thanks tonsil
394,0,http wave google com lt google wish spend bit time adding bit chrome though
395,1,http tinyurl com dtb nice photoshop effect
396,1,xodedexo omg get coupon time you obsessed catalog come mail
397,0,howby hm sorry hear that well keep holding on break over go take nap now
398,1,photo jdperry seriously theseï¿½pictures make day hahaha iï¿½always go aroundï¿½saying ï¿½omg you http tumblr com xznpirs
399,1,courrtneyyy thank much neitherrrr
400,1,work last day get walk around out process happy one step closer really want do
401,0,fell asleep waiting ride
402,1,carlkr please wear glass next video look amazing them
403,0,route da beach sun yet
404,1,greeeeeeeeeeeat summer four class if know me u know
405,0,bowwow hey going viewable uk time broke heart play last one haha
406,0,sorry mean
407,0,gonna miss live comet action tomorrow go take care cousin access interwebz
408,0,best friend leaving go back school today i sad
409,0,momofcande miss
410,0,eddieishere walk street london town no field
411,1,mariamariamaria sorry feeling good mama heading today calling
412,1,lizscherer cheer buttercup rain go away heart always mend actually bet that
413,0,yassak hate her love her presentation got cancelled got went work today pitch
414,1,aidadoll think gangsterrr as even fit g unit amp know
415,0,young love come end
416,0,overslept headache
417,1,heartbomb haha do fave san x character that s rirakkuma
418,1,painted nail metallic blue iï¿½m really sure look itï¿½s pretty weird color think itï¿½s cool
419,0,up getting ready skill can t wait fail bio final yay ugh honor class suckkkk
420,1,miraaaaa hahaha eat then
421,1,lady gaga poker face acoustic really really good really sing
422,1,ohmonika babe text email address send
423,0,glamorousamanda wish could pole got space maybe throw furniture get pole
424,0,woke missing alabama terribly dad say moving there soon thank god
425,0,tellie jean think it get state probably still touring dammit
426,0,little boy drowned yesterday lived subdivision went nicoles school sad
427,1,vacant stained http twitpic com jhe love it awesome
428,0,bj way inconvenient
429,1,happy mama s day mama
430,1,aeroplane know plato one favorite wkp song http blip fm jq
431,1,got home city light show yeahhh
432,0,impala guy past ok since iï¿½ve got appartment car itï¿½s difficult save money
433,0,installed new modem meant run time faster old one slower hell gah slow internet kill
434,0,missing fun sylars army eclipse sarmy sarmy sarmy
435,1,davedays heard one song amazing voice stunned
436,1,shocked feeling sick happy
437,1,hotpants course really hope would real twitter page would soo cool
438,1,mornin world hmmm supposed early oh well
439,0,mitchelmusso would love talk live england unfair
440,1,darkgracie nice song come
441,0,youtube working properly anyone else can t watch video keep failing load
442,0,prchels be heard yellow light maybes put great show saturday sorry missed it chelk
443,0,misscokasplash yay missed naptime
444,0,wish sun would come out i guess matter since work can t enjoy anyways
445,0,imfunsizee jarita going home two hot guy drool
446,1,frixionofficial hott tuuneee
447,0,regret going movie audition today seems like neighbor gonna get call back http myloc me rk
448,0,work really sucked past day amp meeting mon got rescheduled am that s plain evil i need new job
449,0,notmywords yup unfortunately took today work slept day
450,0,jungle book sooooo cute nothing eat drink
451,1,kidb thanks coming support u rock
452,1,davejmatthews concert tonight fenwayyy hopefully rain stop
453,0,apparently misplaced ipod gb
454,0,rorzshach wish good tbh
455,0,freezing math class
456,0,miss daddy
457,1,reckon could live yogurt week good selection flavor
458,0,mareyachristina nope bored hungry
459,1,get bitten rabies infested person last night yay me gonna scare rachel quarantine tonight shall fun
460,0,feel like last night dream well guess say nightmare
461,0,want work tomorrow
462,0,h ouse start sunday sad can t afford sky
463,0,slow get tix
464,1,happy monday lot little thing today tried water plant front early jammies got caught two neighbor
465,1,paulwingz nothinbg home jump shower street calling meeeeeeee steffsoflii tonight cokebabyy tell
466,0,good morning beautiful today shame going spend day unpaid taxi driver
467,0,wreck getting real sore now fault insurance planning go wedding tonight
468,0,shonali hello like little chat can t dm you mail id
469,1,ksidney wolverine great must see
470,1,wicked dvb s tuner card arrived although sure able get set ready fa cup final tomorrow
471,1,going see sweeney todd stage best friend bday today i know going one sings along
472,0,hilarykennedy would share mine hair
473,1,watching freo sunday arvo good hobby
474,0,rina spn boyfriend even say bye
475,0,experienced apathy empathy customer service situation many time recently
476,0,hungry
477,1,frombecca oh yum rhubarb link fab thanks
478,0,life get soo dull sometimes u around x
479,1,miss ottawa ur welcome sweet dream
480,0,going funeral today friend classmate died car wreck last friday
481,1,happy mother s day mama today
482,0,feeling today going boring work till
483,1,curled couch like question mark mind like jell o ah ti joy woman
484,1,want cooky breakfast luckily adult that
485,0,david henrie wat u mean killed yes im sure lady gaga awsome
486,1,wish would call hc
487,0,wondering come mcdonalds take long deliver food
488,0,ab normal shuck sorry sometimes get wrapped fb forget check doin
489,1,much news android based device especially t mobile giddy can t wait start saving up android tmobile
490,1,waiting amy me reecerentboy go see hannah montanna movie
491,1,right adrianmw
492,1,mmm eating tostitos amp amp piknik spinach dip s amp r lt
493,0,frustrated copying gig across usb stupid old server
494,0,well gonna go now goodbye all
495,1,brgd oh cool coming berlin
496,1,going bed goodnight
497,0,what s worse fever sore throat cancelling trip see little bro fever sore throat
498,1,whole food barton spring yogurt spot amp oasis perfect day austin
499,1,konghee good time sun amp dayan ny
500,0,amandadiva laundry last two day
501,0,extremeannette can t seem find it send please oh tag lol
502,0,paulmwatson gonna ask boom boom is morning
503,0,notthebest weekend but oh well i right sad
504,0,jessicaveronica guy gonna tour short stack again missed last tour friend went said mad
505,0,sick n tired people steal people s work
506,0,photogjack yeah price used market hasselblad even close way used hold value shame
507,0,can t believe peeling one half day sunshine
508,0,fuming ebay purchase gone bad outta nothing show amp
509,1,aloliver am going hike today
510,0,man work busy today people called sick old pervert keep rolling sadness abounds
511,1,walk cornish countryside great british bank hol http bit ly ailun http yfrog com rwwtj
512,1,donatoclassic
513,0,life boring without
514,0,got haircut felt like guy quot last samuri quot forced ponytail cut off
515,1,mikeprasad noticed yesterday too i m actually really happy startrek
516,0,djsteeley think less tribute parody
517,0,time bed oh wish someone laying next
518,1,good morning world
519,0,rainy day today car stuck house needed go post office too bastard
520,1,evanlyoko yay least get see next year sad too
521,0,mom left
522,0,sister stupid party amp amp wanna hang friend hilly txt back
523,1,wonder thomasvanvliet is maybe help me inherited can t withdraw
524,0,friend mocking weekend jamespmacdonald talking you
525,1,marieluv ahh would rock
526,0,well poop guitar lesson canceled today sad hope son feel better soon tho
527,0,emmielovegood ive tried tried past learn cockney sadly near impossible find book thing here
528,1,made sister cry hahah bless her hope again
529,1,going town later get birthday present ipod touch nicely think
530,0,ahhhhhh software downloaded can t get install file work
531,1,itsonlywords welcome
532,0,madeleinelaurin why cat pain
533,0,thecomicproject sunny hot london today sit office cranking spreadsheet
534,0,sunburn hurt
535,1,rachelxvacancy hi th fallower
536,0,patriciaerin hug oh gosh sorry
537,1,fun got retweeted bot
538,1,girlygirl well done happy ya
539,1,jadeeisabel nah mine brydielonie one without finger
540,1,eating tito s home made ice cream yum
541,1,exam haha remembrd china buffet king yesterday vair amusing
542,0,jennafletch freddies cotch ladyhawke here missing bajan beauty
543,0,rain delay
544,1,finish line team alpha allstars great day good winning company team http twitpic com jggm
545,0,r going mad science sleep missing due back even get watch it
546,0,waaaaaaaa kicked u bank getting monday omg chilito
547,0,joooo rest week less hour long
548,1,roar fear me well thank much spending lot time behind pc focus determination
549,1,rizzotees lol point laugh
550,0,sad
551,1,happy keve early mother s day let s quiet drove night sleeping
552,0,everyone working tonight bored
553,0,windy raining harder day today bye bye power go
554,1,tired happy orphanage wow babysitting really fun
555,1,michael cera new movie
556,0,probably going miss silverstone s race season iracing sad track pure laser scanned awesomeness
557,1,yay firday good one everyone way work lot s work pending
558,1,geerlingguy http tinyurl com dlqop good one nice
559,1,mrfloydnl thankyou much rock
560,1,clairezee fo sho im
561,1,blacksilkblog hug able shag crush anymore x
562,1,can t spell melo without e o lt favorite blogging site
563,1,danwarp quot shut up quot line removed locker scene bet could recite speech easily dare me
564,1,learnt something new today
565,0,jhaywardbenzal ouch hate happens
566,1,bass drum head breaking equal bust need ticket may th you
567,0,watched wayyyy much beverly hill today proud fact tv fail
568,0,irony inventor ford mustang can t keep car http tinyurl com lpmvtk via jeffholton
569,1,also excited blazin squad revival im rooting em new song http tinyurl com dztms
570,1,chilled room baby book missed bro leavin really cool stripper shirt said suppoort single mom funny
571,0,exhausted can t sleep like night
572,0,alone still watching tww eating italian chocolate solving logic puzzle
573,0,fjdskal im really frustrated
574,1,jmbuckett oh snap kinda nut right now basedmagazine told least thanks babe
575,0,sooooo miss chinese takeout
576,1,misstaken go last night girl night fab everyone made effort dressing
577,0,way get crate bella dolce sad cuz livingdeaderin going tto richmond
578,1,themandymoore looking forward new album
579,1,thanks rawrvee fr yr congratulatory gweetin
580,0,boy sitting photo touching handshake allowed asylm
581,0,envyamor sad missed guy last night
582,1,serum heya hour famine start may nd gonna take part
583,1,although pickupshanan volterra killing right la
584,1,missdaisymusic ben got twitter good work
585,0,http snipurl com hbpg canalway cavalcade little venice near warwick avenue today
586,0,aw wish ireland neilhimself
587,1,amazing night friend losing voice
588,1,iseric ill buy one
589,0,joyvbehar iï¿½m sorry
590,0,miss vlogcandy
591,1,clumsy steph yeah school suck totally yea grateful got better place man cant tell excited hul
592,0,samsamsammm miss you stupid work
593,1,awesome fruit vegetable juice opening lam s noodle tradehub http tinyurl com rc
594,0,feeling bit lonely
595,0,praying pressure brain subside brain seizure stop amp tumor go dan comfortable still niggling cough
596,1,guess what second time around still fucking great
597,0,chasssss got attacked club
598,0,traffic jam rubbish anyone know what s going a cowbridge cardiff stuck direction
599,0,pristina hide berry like slave regularly today caught massa amp im def light enough juice pouring slave
600,1,aussiemcflyfan hope know woo haha time exciting lol
601,1,arnaudjacobs haha yeah improving nite big time make skype call soon tho tear away
602,0,hungry
603,0,sound input computer stop working mic jack usb webcam mic work either checked input control
604,0,sad dad dy hakuna matana mean worry for
605,0,bike trail miss j two front teeth hopefully vacation suck
606,0,soulafrodisiac feel one i moved recently nearest wholefoods hour away
607,0,need sleep can t
608,1,shakti s celebrating th birthday today
609,0,headache
610,0,tojoha suck delete
611,0,zouljiin best sticker ever also dig hair gotten long since seen last
